19947,67.0,1988
691,66.0,1988
9236,65.0,1988
29616,65.0,1988
44390,63.0,1988
67766,127.0,1989
44067,93.0,1989
19947,85.0,1989
255,80.0,1989
20588,75.0,1989
83671,74.0,1989
29616,71.0,1989
259239,71.0,1989
18650,71.0,1989
691,68.0,1989
67766,137.0,1990
44067,96.0,1990
19947,91.0,1990
255,90.0,1990
20588,83.0,1990
691,80.0,1990
83671,78.0,1990
29616,76.0,1990
18650,76.0,1990
50755,73.0,1990
67766,152.0,1991
44067,109.0,1991
19947,100.0,1991
255,95.0,1991
20588,86.0,1991
29616,85.0,1991
1307,84.0,1991
50755,83.0,1991
83671,82.0,1991
691,81.0,1991
67766,158.0,1992
44067,116.0,1992
255,103.0,1992
19947,102.0,1992
67725,97.0,1992
50755,93.0,1992
29616,90.0,1992
18650,90.0,1992
44149,87.0,1992
691,86.0,1992
67766,163.0,1993
44067,118.0,1993
83671,115.0,1993
17716,114.0,1993
67725,108.0,1993
255,104.0,1993
19947,103.0,1993
18650,102.0,1993
20588,100.0,1993
7881,99.0,1993
67766,165.0,1994
50755,133.0,1994
83671,125.0,1994
44067,122.0,1994
20588,122.0,1994
67725,119.0,1994
17716,116.0,1994
7881,113.0,1994
255,110.0,1994
19947,110.0,1994
67766,173.0,1995
67725,138.0,1995
50755,134.0,1995
20588,130.0,1995
44067,128.0,1995
83671,127.0,1995
7881,127.0,1995
19947,121.0,1995
255,120.0,1995
17716,119.0,1995
67766,184.0,1996
50755,156.0,1996
67725,148.0,1996
20588,137.0,1996
44067,135.0,1996
44149,133.0,1996
7881,131.0,1996
83671,130.0,1996
21041,127.0,1996
19947,124.0,1996
67766,191.0,1997
50755,166.0,1997
19947,154.0,1997
7881,152.0,1997
67725,152.0,1997
44149,145.0,1997
20588,143.0,1997
44067,142.0,1997
21041,140.0,1997
8980,135.0,1997
67766,198.0,1998
50755,184.0,1998
19947,159.0,1998
31448,158.0,1998
7881,155.0,1998
67725,155.0,1998
20588,155.0,1998
21041,154.0,1998
8980,152.0,1998
44149,149.0,1998
67766,199.0,1999
50755,198.0,1999
7881,190.0,1999
21041,185.0,1999
8980,174.0,1999
31448,171.0,1999
19947,163.0,1999
44067,160.0,1999
67725,158.0,1999
44149,158.0,1999
50755,223.0,2000
67766,207.0,2000
21041,201.0,2000
7881,199.0,2000
31448,190.0,2000
19947,182.0,2000
8980,176.0,2000
67725,172.0,2000
44149,172.0,2000
67921,170.0,2000
50755,251.0,2001
31448,212.0,2001
67766,208.0,2001
21041,205.0,2001
7881,201.0,2001
44149,198.0,2001
7734,190.0,2001
7151,190.0,2001
8980,184.0,2001
74451,184.0,2001
50755,273.0,2002
7881,233.0,2002
31448,227.0,2002
7151,223.0,2002
21041,223.0,2002
44149,215.0,2002
67766,210.0,2002
19109,209.0,2002
7734,208.0,2002
18986,205.0,2002
50755,292.0,2003
7881,246.0,2003
31448,243.0,2003
21041,242.0,2003
7151,234.0,2003
7734,232.0,2003
44149,229.0,2003
18986,223.0,2003
19109,218.0,2003
315250,216.0,2003
7151,350.0,2004
50755,301.0,2004
8984,292.0,2004
7734,272.0,2004
7881,262.0,2004
18986,259.0,2004
31448,254.0,2004
21041,247.0,2004
315250,245.0,2004
44149,236.0,2004
7151,362.0,2005
50755,361.0,2005
8984,306.0,2005
7734,294.0,2005
7881,293.0,2005
18986,284.0,2005
19109,272.0,2005
315250,267.0,2005
72795,263.0,2005
31448,263.0,2005
7151,458.0,2006
8984,391.0,2006
50755,379.0,2006
7734,323.0,2006
18986,311.0,2006
72795,307.0,2006
9065,302.0,2006
7881,301.0,2006
19109,297.0,2006
451,287.0,2006
7151,479.0,2007
50755,397.0,2007
8984,394.0,2007
8370,364.0,2007
7734,335.0,2007
18986,334.0,2007
7881,329.0,2007
72795,329.0,2007
451,321.0,2007
9065,318.0,2007
7151,574.0,2008
8370,462.0,2008
50755,427.0,2008
1778,416.0,2008
8984,396.0,2008
3143,391.0,2008
17815,391.0,2008
2271,379.0,2008
2834,377.0,2008
18986,376.0,2008
8370,615.0,2009
7151,603.0,2009
1778,551.0,2009
3143,504.0,2009
9860,501.0,2009
2271,483.0,2009
17815,483.0,2009
2834,467.0,2009
50755,449.0,2009
24862,442.0,2009
8370,763.0,2010
1778,689.0,2010
7151,633.0,2010
3143,627.0,2010
9860,618.0,2010
2271,603.0,2010
2834,598.0,2010
24862,568.0,2010
17815,563.0,2010
7372,528.0,2010
8370,950.0,2011
3143,812.0,2011
1778,807.0,2011
2834,763.0,2011
2271,719.0,2011
9860,698.0,2011
17815,696.0,2011
24862,692.0,2011
7372,683.0,2011
7151,658.0,2011
8370,1127.0,2012
1778,973.0,2012
3143,947.0,2012
2271,924.0,2012
2834,919.0,2012
17815,842.0,2012
24862,818.0,2012
9860,809.0,2012
2793,792.0,2012
4541,781.0,2012
8370,1368.0,2013
1778,1148.0,2013
2834,1138.0,2013
2271,1108.0,2013
3143,1082.0,2013
24862,985.0,2013
2793,976.0,2013
17815,958.0,2013
2569,941.0,2013
4541,932.0,2013
8370,1614.0,2014
2834,1433.0,2014
1778,1318.0,2014
2271,1314.0,2014
3143,1302.0,2014
4541,1180.0,2014
2201,1150.0,2014
24862,1146.0,2014
2569,1136.0,2014
11777,1130.0,2014
8370,1886.0,2015
2834,1729.0,2015
2271,1571.0,2015
11777,1490.0,2015
3143,1484.0,2015
1778,1476.0,2015
2201,1475.0,2015
4541,1398.0,2015
2569,1369.0,2015
24862,1352.0,2015
8370,2248.0,2016
2834,1965.0,2016
2271,1850.0,2016
11777,1721.0,2016
3143,1657.0,2016
2201,1617.0,2016
1778,1592.0,2016
4541,1582.0,2016
2793,1551.0,2016
2569,1532.0,2016
8370,2248.0,2017
2834,1965.0,2017
2271,1852.0,2017
11777,1729.0,2017
3143,1660.0,2017
2201,1620.0,2017
1778,1593.0,2017
4541,1582.0,2017
2793,1551.0,2017
2569,1536.0,2017
8370,2248.0,2018
2834,1965.0,2018
2271,1852.0,2018
11777,1729.0,2018
3143,1660.0,2018
2201,1620.0,2018
1778,1593.0,2018
4541,1582.0,2018
2793,1551.0,2018
2569,1536.0,2018
8370,2248.0,2019
2834,1965.0,2019
2271,1852.0,2019
11777,1729.0,2019
3143,1660.0,2019
2201,1620.0,2019
1778,1593.0,2019
4541,1582.0,2019
2793,1551.0,2019
2569,1536.0,2019
8370,2248.0,2020
2834,1965.0,2020
2271,1852.0,2020
11777,1729.0,2020
3143,1660.0,2020
2201,1620.0,2020
1778,1593.0,2020
4541,1582.0,2020
2793,1551.0,2020
2569,1536.0,2020
