Alan J. Perlis,2.8851210952677344,1960
Joseph Henry Wegstein,2.3835566086046702,1960
W. Wesley Peterson,2.322242624819257,1960
Nathaniel Rochester,2.226615845967542,1960
Bernard A. Galler,1.9289067109915397,1960
Franz Ferschl,1.8503986020857661,1960
Roy F. Reeves,1.7862545141151693,1960
Richard A. Silverman,1.7862545141151693,1960
Morton M. Astrahan,1.7703348545289213,1960
J. Barkley Rosser,1.7552358201405573,1960
Alan J. Perlis,3.3896750722725875,1961
Franz Ferschl,2.925539976112869,1961
Joseph Henry Wegstein,2.454534942712042,1961
W. Wesley Peterson,2.322242624819257,1961
Alan L. Leiner,2.2052692355246393,1961
Nathaniel Rochester,2.1471891553286517,1961
J. Paul Roth,2.0208004608082413,1961
Hewitt D. Crane,1.9289067109915397,1961
Bernard A. Galler,1.9289067109915397,1961
John W. Carr III,1.9068983941365847,1961
Alan J. Perlis,3.7956154560174933,1962
Franz Ferschl,2.9255399761128693,1962
Joseph Henry Wegstein,2.761320750518802,1962
W. Wesley Peterson,2.311397037419309,1962
Gerald Estrin,2.310655258974509,1962
John B. Thomas,2.2745965891729516,1962
Irving S. Reed,2.173137305344453,1962
Nathaniel Rochester,2.149088190026766,1962
Donald E. Rosenheim,2.1114302869890373,1962
Lawrence Stark,2.0413164864862368,1962
Alan J. Perlis,3.9267037533005498,1963
Franz Ferschl,2.9255399761128693,1963
Joseph Henry Wegstein,2.9113975453484597,1963
Karl Steinbuch,2.8513737605241407,1963
Peter Naur,2.806365725322351,1963
Irving S. Reed,2.647579724335103,1963
W. Wesley Peterson,2.6386275320614327,1963
Gerald Estrin,2.5392803932878643,1963
Harry D. Huskey,2.3388317081941747,1963
John B. Thomas,2.2745965891729516,1963
Alan J. Perlis,4.202605439379804,1964
Irving S. Reed,3.1176465574650014,1964
Joseph Henry Wegstein,2.937132670465598,1964
Franz Ferschl,2.9255399761128693,1964
Peter Naur,2.833420695371259,1964
Karl Steinbuch,2.8088035567225833,1964
John B. Thomas,2.732651471498039,1964
W. Wesley Peterson,2.649948090084385,1964
Gerald Estrin,2.5392803932878643,1964
Seymour Ginsburg,2.3762131226323855,1964
Alan J. Perlis,4.280850027348816,1965
Irving S. Reed,4.188811923865113,1965
John B. Thomas,3.608210714758257,1965
Franz Ferschl,3.4739360272716246,1965
Karl Steinbuch,3.2692091197459567,1965
Joseph Henry Wegstein,3.2610065359623674,1965
Gerald Estrin,2.954951263057467,1965
Peter Naur,2.9034556322509104,1965
Seymour Ginsburg,2.8354122559510957,1965
W. Wesley Peterson,2.604952151976225,1965
Irving S. Reed,4.9620359442219995,1966
Alan J. Perlis,4.153594544952942,1966
John B. Thomas,3.608210714758257,1966
Karl Steinbuch,3.2692091197459567,1966
Joseph Henry Wegstein,3.259045542217935,1966
Franz Ferschl,2.9983825411956206,1966
Gerald Estrin,2.954951263057467,1966
Seymour Ginsburg,2.908536848066562,1966
David Middleton,2.9030860127974107,1966
Peter Naur,2.8861097457898146,1966
Irving S. Reed,5.259583963112336,1967
John B. Thomas,4.580106516359225,1967
Alan J. Perlis,4.164154014930522,1967
Gerald Estrin,3.9836332237239134,1967
Joseph Henry Wegstein,3.2765486404472166,1967
Karl Steinbuch,3.2692091197459567,1967
W. Wesley Peterson,3.209912751708639,1967
Franz Ferschl,2.9886212547373114,1967
Peter Naur,2.9039131369982423,1967
John C. Hancock,2.8513737605241407,1967
Irving S. Reed,5.411097783422394,1968
John B. Thomas,4.756531240253805,1968
Alan J. Perlis,4.221476116160913,1968
Gerald Estrin,3.9836332237239134,1968
Stephen Sik-Sang Yau,3.5011962010018958,1968
Joseph Henry Wegstein,3.305392595287266,1968
Karl Steinbuch,3.2692091197459567,1968
Lawrence Stark,3.1679310666957328,1968
W. Wesley Peterson,3.1566800289380037,1968
John C. Hancock,3.0284753812108463,1968
Gerald Estrin,5.466786694667126,1969
Irving S. Reed,5.45728607409942,1969
John B. Thomas,4.62874738865986,1969
Alan J. Perlis,4.217675324023142,1969
John E. Hopcroft,3.871042997780843,1969
King-Sun Fu,3.8204720196325455,1969
W. Wesley Peterson,3.563001738158734,1969
Stephen Sik-Sang Yau,3.453107034199922,1969
Seymour Ginsburg,3.324305342170671,1969
George L. Nemhauser,3.3117305280181615,1969
Irving S. Reed,6.232105968716842,1970
Gerald Estrin,5.692444705000247,1970
John B. Thomas,4.619988610191269,1970
Edward G. Coffman Jr.,4.47530782549188,1970
Alan J. Perlis,4.197134660610489,1970
King-Sun Fu,3.9785202860257796,1970
Lawrence Stark,3.9106547503122733,1970
Ludwik Kurz,3.8610700385748653,1970
John E. Hopcroft,3.6778467526765186,1970
W. Wesley Peterson,3.5860894140120068,1970
Gerald Estrin,6.598439235303218,1971
Irving S. Reed,6.218216429780034,1971
Edward G. Coffman Jr.,5.617542564486323,1971
Lawrence Stark,5.130178155658582,1971
King-Sun Fu,4.8697422387973734,1971
Stephen S. Yau,4.8410456571733285,1971
John B. Thomas,4.473432983037253,1971
Ludwik Kurz,4.3220840672026,1971
Alan J. Perlis,4.152367723494473,1971
Edward A. Patrick,4.107278381180515,1971
Gerald Estrin,7.120696018013307,1972
Irving S. Reed,7.081822319986112,1972
Edward G. Coffman Jr.,6.310143133316532,1972
Stephen S. Yau,6.08404397227591,1972
King-Sun Fu,5.757636448170266,1972
Lawrence Stark,5.130178155658582,1972
Jack K. Wolf,5.0823400332695945,1972
John B. Thomas,4.78521152566357,1972
Robert T. Chien,4.716006168345764,1972
Edward A. Patrick,4.695894594232457,1972
Gerald Estrin,7.1475584595811235,1973
Irving S. Reed,6.973603266175474,1973
King-Sun Fu,6.6547128298331515,1973
Robert T. Chien,6.083972786316091,1973
Edward G. Coffman Jr.,6.0715220494754005,1973
Stephen S. Yau,5.877310566126195,1973
Jack K. Wolf,5.42453927365468,1973
Azriel Rosenfeld,5.307496338265907,1973
Edward A. Patrick,5.257528896454913,1973
Lawrence Stark,5.130178155658582,1973
King-Sun Fu,6.908832806848205,1974
Irving S. Reed,6.715055635221509,1974
Gerald Estrin,6.703697501506711,1974
Edward G. Coffman Jr.,6.625648879273926,1974
Edward J. McCluskey,6.209790483936474,1974
Robert T. Chien,5.981640588314818,1974
Azriel Rosenfeld,5.887017712882029,1974
Stephen S. Yau,5.718620123826135,1974
Michael A. Harrison,5.2904857766655455,1974
Edward A. Patrick,5.257528896454913,1974
King-Sun Fu,8.408541779325404,1975
Irving S. Reed,7.116825351209134,1975
Edward G. Coffman Jr.,7.018164211323173,1975
Edward J. McCluskey,6.892970749402835,1975
Robert T. Chien,6.852413526720681,1975
Gerald Estrin,6.650473706093773,1975
Stephen S. Yau,6.3990905395308255,1975
Michael A. Harrison,6.32834567398956,1975
Jeffrey D. Ullman,6.317375811939698,1975
Azriel Rosenfeld,6.258677497040831,1975
Azriel Rosenfeld,8.782821446651127,1976
King-Sun Fu,8.432545067653855,1976
Irving S. Reed,7.521824288036026,1976
Edward G. Coffman Jr.,7.248571680423986,1976
Stephen S. Yau,7.010686642215333,1976
Edward J. McCluskey,6.981312755158119,1976
Robert T. Chien,6.755782350929499,1976
Gerald Estrin,6.749224794541794,1976
Michael A. Harrison,6.5861188910270565,1976
Jeffrey D. Ullman,6.454529861579635,1976
Azriel Rosenfeld,9.652964565413182,1977
King-Sun Fu,8.711858804865829,1977
Irving S. Reed,8.080056111216644,1977
Robert T. Chien,7.773124990912704,1977
Edward G. Coffman Jr.,7.726200133086763,1977
Stephen S. Yau,7.691417477331324,1977
Edward J. McCluskey,7.405752693989922,1977
John B. Thomas,7.313907861824252,1977
Michael A. Harrison,6.803432547015241,1977
K. Mani Chandy,6.639235162531513,1977
Azriel Rosenfeld,11.348391921809947,1978
King-Sun Fu,8.366953184919804,1978
Irving S. Reed,8.229409201583614,1978
Edward J. McCluskey,7.997403531892563,1978
Edward G. Coffman Jr.,7.7873123204476515,1978
Jeffrey D. Ullman,7.685398400161508,1978
Stephen S. Yau,7.660996009767868,1978
John B. Thomas,7.624859358573552,1978
William A. Wulf,7.488327700355025,1978
Robert T. Chien,7.398576731428047,1978
Azriel Rosenfeld,12.977900090959753,1979
King-Sun Fu,9.857988195342534,1979
Jeffrey D. Ullman,8.35283436649286,1979
Irving S. Reed,8.265498364120763,1979
Stephen S. Yau,8.06670487940151,1979
Edward J. McCluskey,7.906904704837908,1979
Edward G. Coffman Jr.,7.6562935973898165,1979
K. Mani Chandy,7.601320085351267,1979
John B. Thomas,7.547564346529129,1979
William A. Wulf,7.462722588407091,1979
Azriel Rosenfeld,13.884076093928607,1980
Stephen S. Yau,9.891567593804579,1980
King-Sun Fu,9.836904025481799,1980
Jeffrey D. Ullman,8.656899929014003,1980
Edward J. McCluskey,8.562376153899805,1980
Edward G. Coffman Jr.,8.4263893714553,1980
Irving S. Reed,7.93347965127909,1980
William A. Wulf,7.8120580764715974,1980
Andries van Dam,7.780220633261236,1980
Robert T. Chien,7.734053920801102,1980
Azriel Rosenfeld,16.136159122266506,1981
King-Sun Fu,10.576681181052527,1981
Stephen S. Yau,10.513245864138627,1981
Edward G. Coffman Jr.,8.982678158203441,1981
Jeffrey D. Ullman,8.96584087093595,1981
Edward J. McCluskey,8.74651105575284,1981
Andries van Dam,8.419653922528544,1981
John B. Thomas,8.06547416324404,1981
William A. Wulf,7.99620140826543,1981
Robert T. Chien,7.965941773228728,1981
Azriel Rosenfeld,18.860185520901958,1982
King-Sun Fu,13.466110931548716,1982
Stephen S. Yau,10.480215800400249,1982
Andries van Dam,9.712957677960206,1982
Edward G. Coffman Jr.,9.265451148047157,1982
Edward J. McCluskey,9.055750430843132,1982
Jeffrey D. Ullman,8.8943808583702,1982
Richard J. Lipton,8.270356236206998,1982
C. V. Ramamoorthy,8.032569796569096,1982
Frank Harary,8.026912439345569,1982
Azriel Rosenfeld,21.652884078219785,1983
King-Sun Fu,14.520614638718433,1983
Stephen S. Yau,11.84741492081901,1983
Andries van Dam,11.15899006619121,1983
Daniel P. Siewiorek,9.229066819910104,1983
Edward J. McCluskey,9.195688660447026,1983
Edward G. Coffman Jr.,9.171989090026829,1983
Paul Erdös,8.955592943566973,1983
Jeffrey D. Ullman,8.94598038481377,1983
Richard J. Lipton,8.729427285695618,1983
Azriel Rosenfeld,21.97967388384818,1984
King-Sun Fu,16.384068657583843,1984
Stephen S. Yau,11.606865981229438,1984
Andries van Dam,11.14707869267748,1984
Edward G. Coffman Jr.,10.75792565928156,1984
Edward J. McCluskey,9.874180244851896,1984
Jeffrey D. Ullman,9.65489248057698,1984
James C. Browne,9.136262029648703,1984
Daniel P. Siewiorek,9.122932751538409,1984
Robert Endre Tarjan,9.019306675514622,1984
Azriel Rosenfeld,22.398850540866064,1985
King-Sun Fu,17.481133341466432,1985
Andries van Dam,12.22671931881165,1985
Stephen S. Yau,11.435658123229144,1985
Paul Erdös,11.346427547448835,1985
Edward G. Coffman Jr.,11.03843776966688,1985
Edward J. McCluskey,10.476931830904112,1985
Daniel P. Siewiorek,10.135761871782517,1985
James C. Browne,9.980507685050997,1985
Robert M. Haralick,9.978527115231396,1985
Azriel Rosenfeld,24.440249625454175,1986
King-Sun Fu,17.362668252548488,1986
Stephen S. Yau,12.213052607267146,1986
Paul Erdös,12.048883506706126,1986
Andries van Dam,11.960190283734272,1986
Robert Endre Tarjan,11.649930024720808,1986
Edward J. McCluskey,11.580312186250522,1986
Edward G. Coffman Jr.,10.835623474973099,1986
James C. Browne,10.469146050211648,1986
Robert M. Haralick,10.421297941304317,1986
Azriel Rosenfeld,24.92277490828551,1987
King-Sun Fu,17.048710292333322,1987
Paul Erdös,13.140166539734203,1987
Stephen S. Yau,12.080838049231785,1987
Edward J. McCluskey,12.000752435043783,1987
Robert M. Haralick,11.753279269922537,1987
Andries van Dam,11.52103766683485,1987
Robert Endre Tarjan,11.30575586550839,1987
Edward G. Coffman Jr.,10.85120621526957,1987
Hideo Aiso,10.69556489021104,1987
Azriel Rosenfeld,26.743103787151146,1988
King-Sun Fu,16.734493323631874,1988
Paul Erdös,14.31686999921319,1988
Edward J. McCluskey,12.723283360457929,1988
Stephen S. Yau,12.409353943514722,1988
Robert Endre Tarjan,11.835175417904365,1988
Robert M. Haralick,11.686612995030993,1988
Kurt Mehlhorn,11.353172705690994,1988
Andries van Dam,11.291130599064426,1988
James C. Browne,11.242058469541535,1988
Azriel Rosenfeld,27.85811410438937,1989
King-Sun Fu,16.557283403201865,1989
Paul Erdös,15.970034152053998,1989
James C. Browne,13.22262386563171,1989
Robert M. Haralick,13.217908644614125,1989
Stephen S. Yau,13.194868136154385,1989
Edward J. McCluskey,13.102108854779505,1989
Robert Endre Tarjan,12.965647992949803,1989
Gio Wiederhold,12.802383332085295,1989
Andries van Dam,11.92246028564467,1989
Azriel Rosenfeld,29.613117803934152,1990
King-Sun Fu,16.388214661118504,1990
Paul Erdös,16.19232012068041,1990
Robert Endre Tarjan,13.904459213524994,1990
Gio Wiederhold,13.675773836720094,1990
James C. Browne,13.582537085818705,1990
Robert M. Haralick,13.493915520496628,1990
Edward J. McCluskey,13.20398231995839,1990
