1.840168243953733,1960
1.84822934232715,1961
1.9111111111111112,1962
1.9569101418812402,1963
1.971954425942156,1964
1.9703043801039346,1965
1.9913393133312713,1966
1.9688934217236105,1967
1.9733169129720853,1968
1.9906860111051405,1969
2.0238319222326746,1970
2.0970442061208474,1971
2.1330631543397502,1972
2.1571318129107073,1973
2.2846685644570965,1974
2.3261380636888225,1975
2.372228056087467,1976
2.436711239997852,1977
2.505857700733403,1978
2.5777155939964387,1979
2.652415723960501,1980
2.7291365576580513,1981
2.8046685230167663,1982
2.89213300892133,1983
2.966026316996011,1984
3.0424007349188527,1985
3.111563157801638,1986
3.170919356589989,1987
3.2578238621061137,1988
3.3486263444351305,1989
3.4328919388142958,1990
3.5522847852130757,1991
3.678887424327332,1992
3.835537665324899,1993
3.972000381433714,1994
3.498956227295889,1995
3.688378331537424,1996
3.8944862138116862,1997
4.1161011038997755,1998
4.3408761922198895,1999
4.552163557070165,2000
4.762328560378818,2001
5.015987015100513,2002
5.2940814651502075,2003
5.57944694110509,2004
5.880783116437049,2005
6.203795444919596,2006
6.50336546783256,2007
6.7991875252655785,2008
7.089901585958639,2009
7.397258010632426,2010
7.696751725950326,2011
8.01109253095339,2012
8.386177777343242,2013
8.708911200581774,2014
9.036883378196702,2015
9.301734990872818,2016
9.301883739401045,2017
9.301883739401045,2018
9.301883739401045,2019
9.301883739401045,2020
