Source,Target,Type,Id,Label,Weight
0,12928,Undirected,0,#,1
0,792271,Undirected,1,#,2
0,178823,Undirected,2,#,1
0,772718,Undirected,3,#,2
0,52712,Undirected,4,#,1
0,664610,Undirected,5,#,1
0,259530,Undirected,6,#,3
0,1753424,Undirected,7,#,1
0,82218,Undirected,8,#,4
0,438442,Undirected,9,#,1
0,75790,Undirected,10,#,7
0,47,Undirected,11,#,3
0,76432,Undirected,12,#,1
0,1753544,Undirected,13,#,1
0,438165,Undirected,14,#,1
0,691,Undirected,15,#,1
0,673310,Undirected,16,#,1
0,75543,Undirected,17,#,1
0,122938,Undirected,18,#,1
0,204221,Undirected,19,#,3
1,1792,Undirected,20,#,3
1,242689,Undirected,21,#,1
1,576395,Undirected,22,#,4
1,66314,Undirected,23,#,1
1,121741,Undirected,24,#,2
1,840320,Undirected,25,#,1
1,1770391,Undirected,26,#,1
1,75788,Undirected,27,#,1
1,86288,Undirected,28,#,2
1,76306,Undirected,29,#,1
1,788639,Undirected,30,#,2
1,242587,Undirected,31,#,4
1,1712824,Undirected,32,#,1
1,1715768,Undirected,33,#,2
1,242592,Undirected,34,#,6
1,480676,Undirected,35,#,1
1,1029033,Undirected,36,#,1
1,121894,Undirected,37,#,2
1,1065,Undirected,38,#,11
1,75435,Undirected,39,#,6
1,1066,Undirected,40,#,2
1,1080383,Undirected,41,#,1
1,962358,Undirected,42,#,4
1,640688,Undirected,43,#,2
1,962359,Undirected,44,#,1
1,44090,Undirected,45,#,2
1,44221,Undirected,46,#,1
1,612022,Undirected,47,#,6
1,436679,Undirected,48,#,7
1,437831,Undirected,49,#,2
1,44354,Undirected,50,#,1
1,962506,Undirected,51,#,2
1,483395,Undirected,52,#,1
1,972,Undirected,53,#,2
1,521814,Undirected,54,#,3
1,611928,Undirected,55,#,3
1,521813,Undirected,56,#,2
1,340560,Undirected,57,#,8
1,520402,Undirected,58,#,1
1,1745871,Undirected,59,#,1
1,49749,Undirected,60,#,2
1,962386,Undirected,61,#,4
1,611927,Undirected,62,#,6
1,276186,Undirected,63,#,1
1,611926,Undirected,64,#,7
1,962385,Undirected,65,#,5
1,341351,Undirected,66,#,1
1,76388,Undirected,67,#,3
1,243174,Undirected,68,#,2
1,505327,Undirected,69,#,1
1,226027,Undirected,70,#,1
1,611811,Undirected,71,#,4
1,391790,Undirected,72,#,1
1,242543,Undirected,73,#,1
1,184557,Undirected,74,#,2
1,1648,Undirected,75,#,2
1,242805,Undirected,76,#,2
1,242676,Undirected,77,#,2
1,1288168,Undirected,78,#,1
2,341764,Undirected,79,#,2
2,1025,Undirected,80,#,1
2,3,Undirected,81,#,11
2,69380,Undirected,82,#,3
2,341760,Undirected,83,#,1
2,21127,Undirected,84,#,2
2,19592,Undirected,85,#,7
2,513034,Undirected,86,#,7
2,1168,Undirected,87,#,2
2,1169,Undirected,88,#,29
2,341789,Undirected,89,#,2
2,341788,Undirected,90,#,1
2,341790,Undirected,91,#,2
2,123418,Undirected,92,#,3
2,483484,Undirected,93,#,2
2,284,Undirected,94,#,4
2,260126,Undirected,95,#,1
2,341787,Undirected,96,#,3
2,341915,Undirected,97,#,2
2,131485,Undirected,98,#,1
